name,funding_amount,city,country,industry,funding_stage,description,investors,startup_age,team_background,traction_indicators,valuation,round_type,language,region_category,company_website,article_keywords,url,publish_date,founder_linkedin
AIATELLA,2000000.0,Helsinki,Finland,"MedTech, AI, Cardiovascular Imaging",Seed,"AI-powered cardiovascular imaging technology that automates manual processes in medical imaging to enhance speed, accuracy, and consistency.","Nordic Science Investments, Specialist VC, Harjavalta Ventures, Business Finland, syndicate of angel investors",2022,Co-Founder and CEO Jack Parker with medical education background in the UK,"Technology makes image analysis 100 times faster, in approval processes in EU and North America, detected tens of cases of potential cardiovascular narrowing",,Seed,English,EU,,"AI, cardiovascular, imaging, radiology, preventative screening, MedTech, automation",https://www.eu-startups.com/2025/06/finnish-startup-aiatella-raises-e2-million-to-scale-ai-powered-cardiovascular-imaging-tools-aims-to-prevent-100-million-strokes/,"June 4, 2025",
Aeon,8200000.0,Zurich,Switzerland,"HealthTech, Preventive Healthcare, AI",Seed,"Aeon is a preventive health company offering AI-powered check-ups that combine whole-body MRI, blood biomarker analysis, and genetic testing to shift healthcare from reactive to proactive.","Concentric, Calm/Storm Ventures, GoHub Ventures, Kadmos Capital, EWOR, Daniel Gutenberg",2023,"CEO Tim Seithe previously founded and sold Tillhub to Unzer (KKR owned), CPO Samuel Frey has a decade of product leadership and led a turnaround at diagnostics scale-up Platomics, scientific advisor Dr Andreas Lemke is a leading MRI physicist and Founder of Mediaire.","0% false positive rate in clinical-grade follow-ups, early detection of over 500 diseases and health risks, deals with Switzerland’s insurance providers including KPT, first health platform to offer full-body check-ups eligible for reimbursement by health insurers.",,Seed,English,EU,,"HealthTech, preventive healthcare, AI, MRI, blood biomarkers, genetic testing, early detection, false positives, insurance reimbursement, clinical network",https://www.eu-startups.com/2025/06/swiss-healthtech-startup-aeon-raises-e8-2-million-to-scale-its-ai-preventive-health-platform/,"June 4, 2025",
Fabriq,22000000.0,,France,"industrial optimisation, SaaS, manufacturing",,Fabriq provides a SaaS platform that digitises Lean Daily Management to help factories achieve daily operational objectives.,"Expedition Capital, OSS Ventures",5,Founded by Octave Lapeyronie and François Déchelette,"Deployed across 600 industrial sites in 43 countries, reached profitability in 2024, serves manufacturing leaders like Safran, Airbus, Andros, Bel, Renault, Scania, LVMH, Merck, Lonza",,,English,EU,,"industrial optimisation, SaaS, manufacturing, lean management, Industry 4.0, digital solution, operational excellence",https://www.eu-startups.com/2025/06/fabriq-a-paris-based-scale-up-lands-e22-million-to-become-the-global-standard-in-industrial-performance/,"June 4, 2025",
Baobab Insurance,12000000.0,Germany,Germany,"insurance, cybersecurity, fintech",Series A,"Germany’s first integrated cyber insurance provider and risk mitigation provider, operating as a Managing General Agent for digital risks.","Viola FinTech, eCapital, Augmentum Fintech, Project A Ventures, Christof Mascher",2021,"ex-Allianz SE, experienced in insurance and fintech","prevented losses of over €10 million for customers, loss ratio significantly below the market average",,Series A,English,EU,,"cyber insurance, risk mitigation, AI, phishing, ransomware, underwriting, fintech",https://www.eu-startups.com/2025/06/berlin-based-insurtech-startup-baobab-insurance-raises-e12-million-for-cybersecurity-insurance/,"June 4, 2025",
Jua,10000000.0,Zurich,Switzerland,"AI, Earth simulation, Energy, Climate modeling",Series A,"Creator of the world’s most advanced AI-based Earth simulation, providing a decision engine that helps energy traders make decisions by simulating how the physical world behaves.","Ananda Impact Ventures, Future Energy Ventures, 468 Capital, Promus Ventures, Siraj Khaliq, Mehdi Ghiassani, Ola Torudbakken, Green Generation Fund",2,"World-class talent in AI and Earth science, including ex-DeepMind and Meta",Third-party benchmarks show EPT-2.0 significantly outperforms traditional numerical weather models and AI models from big tech firms.,,Series A,English,EU,,"AI, Earth simulation, energy, climate modeling, forecasting, physics-simulating AI, Large Physics Model, weather, energy markets, supply-demand dynamics",https://www.eu-startups.com/2025/06/planet-sized-ambitions-swiss-startup-jua-lands-e10-million-to-launch-ai-based-earth-simulation/,"June 4, 2025",
Labrys,17500000.0,British,UK,"trust infrastructure, workforce management, logistics, risk management, humanitarian crisis response",Seed,"Labrys is a technology company building Axiom, a secure workforce management platform that helps organisations verify, support and pay their globally dispersed teams.","Plural, AlbionVC, Superangel, Project A, MDOne, Expeditions Fund, Marque Ventures",2020,"Royal Marine veteran August Lersten (CEO), former Army Officer Luke Wattam (COO)","secured seven-figure annual revenues, contracts with government clients and customers across logistics and humanitarian disaster response, including in Ukraine",,Seed,English,UK,,"trust infrastructure, workforce management, logistics, risk management, humanitarian crisis response, military-grade, secure, reliable system, human coordination, stablecoin, cryptocurrency",https://www.eu-startups.com/2025/06/london-based-labrys-raises-e17-5-million-for-its-workforce-management-platform-for-global-humanitarian-teams/,"June 3, 2025",
PoliCloud,7500000.0,Cannes,France,"High Performance Computing, Cloud Infrastructure",Seed,"PoliCloud is a decentralised cloud built for cities, enterprises, and public institutions that refuse to hand their data to hyperscalers, offering secure, eco-responsible, and affordable computing power.","Global Ventures, MI8 Limited, OneRagtime, Inria",2025,Founder David Gurlé has a track record of successful delivery in Hivenet.,"Sold four PoliClouds in three months, projected €6+ million in revenue by year-end 2025, already cash flow positive.",,Seed,English,EU,,"High Performance Computing, cloud infrastructure, decentralised, eco-responsible, AI, sovereign cloud, edge computing",https://www.eu-startups.com/2025/06/french-startup-policloud-raises-e7-5-million-to-innovate-next-gen-sovereign-cloud-infrastructure/,"June 26, 2025",
Sibill,12000000.0,Milan,Italy,"FinTech, SME solutions",Series A,"Sibill simplifies the administrative and financial management of Italian SMEs by centralising invoices, payments, and deadlines in a single platform.","Creandum, Keen Venture Partners",2021,"Founded by Mattia Montepara, Lorenzo Liguori, and Dario Prencipe","Over 2,600 clients across Italy, helping entrepreneurs save an average of 5 hours per week, team of 50+ people",,Series A,English,EU,,"FinTech, SME, administrative management, financial management, AI, automation, Italy, Creandum, Keen Venture Partners",https://www.eu-startups.com/2025/06/italian-fintech-startup-sibill-raises-e12-million-to-bring-all-in-one-finance-platform-to-italian-smes-and-accountants/,"June 26, 2025",
Boost inc,16000000.0,London,UK,"unattended retail technology, vending industry",Series B,"Boost inc combines connected hardware like smart coolers, vending systems, and self-checkout kiosks with its flagship cloud platform, Vendlive, to digitise the vending industry and unlock the full potential of unattended retail.","Direttissima Growth Partners, Capmont Technology, Kineo Finance, Kineo Capital",4,"Founder and CEO Pascal Uffer, Founder and CFO Johannes Lermann","150-person team, offices in multiple countries, clients include Coca-Cola, Hilton, and Siemens",,Series B,English,UK,,"unattended retail, vending industry, international expansion, connected hardware, cloud platform",https://www.eu-startups.com/2025/06/swiss-startup-boost-inc-secures-e16-million-to-accelerate-international-growth-in-unattended-retail/,"June 26, 2025",
Climatiq,10000000.0,,Germany,"carbon intelligence, sustainability, AI",Series A,"Climatiq provides carbon intelligence infrastructure to automate emissions calculations for activities, products, and suppliers.","Alstin Capital, Singular, Cherry Ventures",2021,,"delivered over a billion carbon calculations via APIs, serves 30,000 sustainability professionals, researchers, and non-profits",,Series A,English,EU,,"carbon intelligence, emissions calculations, AI, sustainability, Series A, Alstin Capital",https://www.eu-startups.com/2025/06/berlin-based-climatiq-raises-e10-million-to-put-climate-impact-at-the-centre-of-business-decision-making/,"June 26, 2025",
Volare,26000000.0,Pori,Finland,"BioTech, Sustainable Protein, Circular Economy",Series A,"Volare develops technology to turn food industry side streams into sustainable insect protein, oil, and fertilizers on an industrial scale.","Maki.vc, Firstminute Capital, Springvest, The Finnish Climate Fund, Finnvera, Norion Bank",2021,"ex-Commercial Strategy, Chief Science Officer with technology focus","Offtake agreement with Skretting, piloting insect-fed rainbow trout in Finland, 150,000 kg collaboration with Alltech Fennoaqua, Kalankasvatus Vääräniemi, and Kalavapriikki",,Series A,English,EU,,"sustainable protein, circular economy, insect protein, food resilience, black soldier fly, zero-waste, fossil-free, aquafeed, pet food, poultry feed",https://www.eu-startups.com/2025/05/can-flies-feed-the-world-this-finnish-biotech-startup-thinks-so-and-just-raised-e26-million-to-prove-it/,"May 27, 2025",
Salvia BioElectronics,53000000.0,Eindhoven,Netherlands,"medical devices, neuromodulation, healthcare",Series B,Salvia BioElectronics is a clinical-stage medical device company innovating neuromodulation therapy for patients with chronic migraine.,"Innovation Industries, Invest-NL, EIC Fund, Inkef, Panakès Partners, SHS Capital, Dolby Family Ventures, BOM, Thuja Capital",2017,Founder and CEO Hubert Martens,"FDA-designated Breakthrough Device, RECLAIM study for chronic migraine, early clinical data showing potential reduction in migraine frequency and intensity",,Series B,English,EU,,"neuromodulation, chronic migraine, medical device, clinical-stage, FDA, Breakthrough Device, RECLAIM study",https://www.eu-startups.com/2025/05/migraines-this-dutch-startup-just-raised-e53-million-to-transform-migraine-treatment-with-its-ultra-thin-implant/,"May 27, 2025",
ResultX,400000.0,Hasselt,Belgium,"ESG, AI, Compliance Tools",Grant,"ResultX is building a user-friendly ESG platform designed specifically for SMEs, leveraging AI to automate the extraction, analysis, and reporting of ESG data.",Flemish Agency for Innovation and Entrepreneurship (VLAIO),2022,"Simon Van de Voorde, Joos Kesters, Andries Paesen","Secured over €400K in innovation grants, developing AI models, expanding automation features",,,,,https://www.resultx.com,"ESG, AI, SMEs, compliance, sustainability, automation",https://www.eu-startups.com/2025/05/belgian-startup-resultx-raises-over-e400k-for-its-esg-reporting-platform-for-smes/,"May 26, 2025",
DejaBlue,6800000.0,,France,"electrification, energy optimisation, EV charging, solar integration",Seed,"DejaBlue provides an energy optimisation platform helping commercial buildings and fleets cut energy costs and streamline EV charging through intelligent software, infrastructure management, and solar integration.","redalpine, Zeno Ventures, Bpifrance",2023,"ex-Google Fi, Uber, Lyft","doubling headcount from 15 to 30, best-in-class EV charging solution",,Seed,English,EU,,"electrification, energy optimisation, EV charging, solar integration, AI-powered automation, energy flexibility, commercial expansion",https://www.eu-startups.com/2025/06/paris-based-dejablue-raises-e6-8-million-to-power-the-next-phase-of-energy-optimization-in-the-ev-era/,"June 26, 2025",
Aufinity Group,23000000.0,Cologne,Germany,"FinTech, automotive, payment management",Series C,"Innovator in payment management in the automotive sector, specializing in digitalization and automation of payment processes.","BlackFin Capital Partners, PayPal Ventures, Seaya Ventures",2018,Co-founders Lasse Diener and Ulrich Schmidt,"Expansion into Madrid and Rome, strategic partnerships with OEMs, scaling annualised platform volume, successful expansion into after-sales, enterprise, and new geographies like Iberia and Italy.",,Series C,English,EU,https://www.aufinitygroup.com,"FinTech, automotive, payment management, European expansion, OEMs, digitalisation, automation",https://www.eu-startups.com/2025/05/german-fintech-startup-aufinity-group-raises-e23-million-to-innovate-payments-in-the-automotive-sector/,"May 21, 2025",
